Date,USD,CAD
10/01/2020,1,1.352
10/02/2020,1,1.353
10/03/2020,1,1.353
10/04/2020,1,1.353
10/05/2020,1,1.353
10/06/2020,1,1.353
10/07/2020,1,1.353
10/08/2020,1,1.354
10/09/2020,1,1.354
10/10/2020,1,1.354
10/11/2020,1,1.354
10/12/2020,1,1.354
10/13/2020,1,1.354
10/14/2020,1,1.354
10/15/2020,1,1.355
10/16/2020,1,1.355
10/17/2020,1,1.355
10/18/2020,1,1.355
10/19/2020,1,1.355
10/20/2020,1,1.355
10/21/2020,1,1.356
10/22/2020,1,1.356
10/23/2020,1,1.356
10/24/2020,1,1.356
10/25/2020,1,1.356
10/26/2020,1,1.356
10/27/2020,1,1.357
10/28/2020,1,1.357
10/29/2020,1,1.357
10/30/2020,1,1.357
10/31/2020,1,1.357
11/01/2020,1,1.357
11/02/2020,1,1.357
11/03/2020,1,1.358
11/04/2020,1,1.358
11/05/2020,1,1.358
11/06/2020,1,1.358
11/07/2020,1,1.358
11/08/2020,1,1.358
11/09/2020,1,1.359
11/10/2020,1,1.359
11/11/2020,1,1.359
11/12/2020,1,1.359
11/13/2020,1,1.359
11/14/2020,1,1.359
11/15/2020,1,1.359
11/16/2020,1,1.36
11/17/2020,1,1.36
11/18/2020,1,1.36
11/19/2020,1,1.36
11/20/2020,1,1.36
11/21/2020,1,1.36
11/22/2020,1,1.361
11/23/2020,1,1.361
11/24/2020,1,1.361
11/25/2020,1,1.361
11/26/2020,1,1.361
11/27/2020,1,1.361
11/28/2020,1,1.362
11/29/2020,1,1.362
11/30/2020,1,1.362
12/01/2020,1,1.362
12/02/2020,1,1.362
12/03/2020,1,1.362
12/04/2020,1,1.362
12/05/2020,1,1.363
12/06/2020,1,1.363
12/07/2020,1,1.363
12/08/2020,1,1.363
12/09/2020,1,1.363
12/10/2020,1,1.363
12/11/2020,1,1.364
12/12/2020,1,1.364
12/13/2020,1,1.364
12/14/2020,1,1.364
12/15/2020,1,1.364
12/16/2020,1,1.364
12/17/2020,1,1.365
12/18/2020,1,1.365
12/19/2020,1,1.365
12/20/2020,1,1.365
12/21/2020,1,1.365
12/22/2020,1,1.365
12/23/2020,1,1.365
12/24/2020,1,1.366
12/25/2020,1,1.366
12/26/2020,1,1.366
12/27/2020,1,1.366
12/28/2020,1,1.366
12/29/2020,1,1.366
12/30/2020,1,1.367
12/31/2020,1,1.367
01/01/2021,1,1.297
01/02/2021,1,1.298
01/03/2021,1,1.299
01/04/2021,1,1.298
01/05/2021,1,1.299
01/06/2021,1,1.297
01/07/2021,1,1.299
01/08/2021,1,1.304
01/09/2021,1,1.302
01/10/2021,1,1.302
01/11/2021,1,1.303
01/12/2021,1,1.303
01/13/2021,1,1.304
01/14/2021,1,1.305
01/15/2021,1,1.305
01/16/2021,1,1.306
01/17/2021,1,1.306
01/18/2021,1,1.307
01/19/2021,1,1.308
01/20/2021,1,1.308
01/21/2021,1,1.309
01/22/2021,1,1.31
01/23/2021,1,1.31
01/24/2021,1,1.311
01/25/2021,1,1.311
01/26/2021,1,1.312
01/27/2021,1,1.313
01/28/2021,1,1.313
01/29/2021,1,1.314
01/30/2021,1,1.314
01/31/2021,1,1.315
02/01/2021,1,1.316
02/02/2021,1,1.316
02/03/2021,1,1.317
02/04/2021,1,1.317
02/05/2021,1,1.318
02/06/2021,1,1.319
02/07/2021,1,1.319
02/08/2021,1,1.32
